departament,semester,code,name,class,reserv,used
Eng.ECP,2025 - II,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,B,4,4
Eng.ECP,2025 - II,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,C,8,6
Eng.ECP,2025 - II,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,D,4,4
Eng.ECP,2025 - II,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,E,5,2
Eng.ECP,2025 - II,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,F,8,2
Eng.ECP,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,A2,6,4
Eng.ECP,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,B1,20,13
Eng.ECP,2025 - II,FIS01181,FÍSICA I-C,B3,15,13
Eng.ECP,2025 - II,FIS01181,FÍSICA I-C,E3,3,3
Eng.ECP,2025 - II,FIS01181,FÍSICA I-C,G2,7,7
Eng.ECP,2025 - II,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,A,13,11
Eng.ECP,2025 - II,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,B,8,4
Eng.ECP,2025 - II,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,D,8,8
Eng.ECP,2025 - II,ENG10031,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,U,28,27
Eng.ECP,2025 - II,MAT01375,MATEMÁTICA DISCRETA B,A,12,9
Eng.ECP,2025 - II,MAT01375,MATEMÁTICA DISCRETA B,B,16,9
Eng.ELE,2025 - II,ENG04079,APRENDIZAGEM AUTÔNOMA I,A,30,30
Eng.ELE,2025 - II,ENG04079,APRENDIZAGEM AUTÔNOMA I,B,1,1
Eng.ELE,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,B1,29,20
Eng.ELE,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,E1,4,1
Eng.ELE,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,E,17,12
Eng.ELE,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,EE,11,6
Eng.ELE,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,LL,1,0
Eng.ELE,2025 - II,FIS01181,FÍSICA I-C,A1,18,18
Eng.ELE,2025 - II,FIS01181,FÍSICA I-C,A2,11,11
Eng.ELE,2025 - II,FIS01181,FÍSICA I-C,P2,3,3
Eng.ELE,2025 - II,ARQ03317,GEOMETRIA DESCRITIVA II-A,D,19,14
Eng.ELE,2025 - II,ARQ03317,GEOMETRIA DESCRITIVA II-A,DD,9,5
Eng.ELE,2025 - II,ARQ03317,GEOMETRIA DESCRITIVA II-A,J,1,0
Eng.ELE,2025 - II,ENG04080,INTRODUÇÃO À ENGENHARIA ELÉTRICA - B,A,6,5
Eng.ELE,2025 - II,ENG04080,INTRODUÇÃO À ENGENHARIA ELÉTRICA - B,B,12,10
Eng.ELE,2025 - II,ENG04080,INTRODUÇÃO À ENGENHARIA ELÉTRICA - B,C,2,1
Eng.ELE,2025 - II,ENG04080,INTRODUÇÃO À ENGENHARIA ELÉTRICA - B,D,11,7
Eng.MEC,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,A1,43,31
Eng.MEC,2025 - II,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,E1,5,4
Eng.MEC,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,C,19,14
Eng.MEC,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,CC,20,10
Eng.MEC,2025 - II,ARQ03318,DESENHO TÉCNICO I-A,L,8,3
Eng.MEC,2025 - II,FIS01181,FÍSICA I-C,D3,9,8
Eng.MEC,2025 - II,FIS01181,FÍSICA I-C,E1,20,20
Eng.MEC,2025 - II,FIS01181,FÍSICA I-C,E2,12,11
Eng.MEC,2025 - II,FIS01181,FÍSICA I-C,P2,4,4
Eng.MEC,2025 - II,ARQ03152,GEOMETRIA DESCRITIVA APLICADA À ENGENHARIA,A,20,19
Eng.MEC,2025 - II,ARQ03152,GEOMETRIA DESCRITIVA APLICADA À ENGENHARIA,AA,20,18
Eng.MEC,2025 - II,ARQ03152,GEOMETRIA DESCRITIVA APLICADA À ENGENHARIA,B,9,7
Eng.MEC,2025 - II,ENG03363,INTRODUÇÃO À ENGENHARIA MECÂNICA,U,48,46
Eng.MEC,2025 - II,INF01040,INTRODUÇÃO À PROGRAMAÇÃO,A,30,29
Eng.MEC,2025 - II,INF01040,INTRODUÇÃO À PROGRAMAÇÃO,B,18,7
